invoice_number,customer_name,customer_email,amount_due,tax_amount,total_amount,issue_date,due_date,status,description,reference_number
INV-2025-001,Digital Marketing Co,pay@digmark.com,3152.91,472.94,3625.85,2025-06-05,2025-07-05,paid,Security Audit Services - Digital Marketing Co,REF-DIGI-001
INV-2025-002,Enterprise Solutions,accounts@entsol.com,8338.93,1250.84,9589.77,2025-06-04,2025-07-04,pending,Web Development Services - Enterprise Solutions,REF-ENT-002
INV-2025-003,Retail Chain Ltd,finance@retail.com,7001.14,1050.17,8051.31,2025-06-04,2025-07-04,paid,Data Analytics Platform - Retail Chain Ltd,REF-RET-003
INV-2025-004,Retail Chain Ltd,finance@retail.com,6171.92,925.79,7097.71,2025-06-03,2025-07-03,pending,Patient Management System - Retail Chain Ltd,REF-RET-004
INV-2025-005,Acme Corporation,billing@acme.com,3375.69,506.35,3882.04,2025-06-04,2025-07-04,paid,Patient Management System - Acme Corporation,REF-ACME-005
INV-2025-006,Manufacturing Inc,ap@mfginc.com,8628.68,1294.3,9922.98,2025-06-05,2025-07-05,paid,Web Development Services - Manufacturing Inc,REF-MFG-006
INV-2025-007,Enterprise Solutions,accounts@entsol.com,6879.24,1031.89,7911.13,2025-06-02,2025-07-02,paid,Software License Renewal - Enterprise Solutions,REF-ENT-007
INV-2025-008,Tech Solutions Ltd,accounts@techsol.com,6588.47,988.27,7576.74,2025-06-07,2025-07-07,pending,Software License Renewal - Tech Solutions Ltd,REF-TECH-008
INV-2025-009,Manufacturing Inc,ap@mfginc.com,27141.53,4071.23,31212.76,2025-06-12,2025-07-12,paid,POS System Integration - Manufacturing Inc,REF-MFG-009
INV-2025-010,Acme Corporation,billing@acme.com,12254.83,1838.22,14093.05,2025-06-08,2025-07-08,paid,Project Management Software - Acme Corporation,REF-ACME-010
INV-2025-011,StartUp Ventures,billing@startup.com,3382.15,507.32,3889.4700000000003,2025-06-14,2025-07-14,pending,Video Editing Software License - StartUp Ventures,REF-START-011
INV-2025-012,Manufacturing Inc,ap@mfginc.com,11623.05,1743.46,13366.509999999998,2025-06-21,2025-07-21,paid,Data Analytics Platform - Manufacturing Inc,REF-MFG-012
INV-2025-013,Global Enterprises,finance@global.com,20336.86,3050.53,23387.39,2025-06-21,2025-07-21,paid,POS System Integration - Global Enterprises,REF-GLOB-013
INV-2025-014,Enterprise Solutions,accounts@entsol.com,5581.0,837.15,6418.15,2025-06-21,2025-07-21,paid,Learning Management System - Enterprise Solutions,REF-ENT-014
