transaction_date,description,amount,reference_number,bank_reference,transaction_type,balance
2025-06-22,ACH Credit - Enterprise Solutions,7911.13,,BK-2025-0622-007,credit,133393.31
2025-06-24,ACH Credit - Acme Corporation,3882.04,REF-ACME-005,BK-2025-0624-005,credit,115559.2
2025-07-01,Monthly Service Fee,-25.0,BANK-FEE-001,BK-2025-0701-FEE,debit,649405.0799999998
2025-07-04,Transfer from Digital Marketing Co,3625.85,REF-DIGI-001,BK-2025-0704-001,credit,103625.85
2025-07-04,Payment from Retail Chain Ltd - Data Analytics Platf,8051.31,REF-RET-003,BK-2025-0704-003,credit,111677.16
2025-07-06,Transfer from Acme Corporation,14093.05,REF-ACME-010,BK-2025-0706-010,credit,178699.12
2025-07-07,Transfer from Manufacturing Inc,9922.98,REF-MFG-006,BK-2025-0707-006,credit,125482.18
2025-07-15,ACH Credit - Global Enterprises,23231.56,REF-GLOB-015,BK-2025-0715-015,credit,245102.73
2025-07-15,Interest Payment,125.5,INT-PAYMENT-001,BK-2025-0715-INT,credit,649505.5799999998
2025-07-16,Payment from Enterprise Solutions - ERP System Implement,10793.97,,BK-2025-0716-016,credit,255896.7
2025-07-18,Manufacturing Inc - Invoice Payment,31212.76,,BK-2025-0718-009,credit,164606.07
2025-07-19,ACH Credit - StartUp Ventures,3709.6,REF-START-028,BK-2025-0719-028,credit,364640.4
2025-07-20,Enterprise Solutions - Invoice Payment,6418.15,,BK-2025-0720-014,credit,221871.17
2025-07-23,Wire from Global Enterpri - REF-GLOB-013,23387.39,REF-GLOB-013,BK-2025-0723-013,credit,215453.02
2025-07-23,Retail Chain Ltd - Invoice Payment,5635.360000000001,REF-RET-027,BK-2025-0723-027,credit,360930.8
2025-07-24,Payment from Manufacturing Inc - Data Analytics Platf,13366.509999999998,REF-MFG-012,BK-2025-0724-012,credit,192065.63
2025-07-25,ACH Credit - Global Enterprises,23092.02,REF-GLOB-017,BK-2025-0725-017,credit,278988.72
2025-07-25,Wire from Enterprise Solu - REF-ENT-019,9436.289999999999,REF-ENT-019,BK-2025-0725-019,credit,288425.01
2025-07-25,ACH Credit - Enterprise Solutions,7260.86,REF-ENT-022,BK-2025-0725-022,credit,320308.07
2025-07-25,Payment from Digital Marketing Co - Software License Ren,3464.1000000000004,REF-DIGI-024,BK-2025-0725-024,credit,351759.26
2025-07-25,Payment from StartUp Ventures - Data Analytics Platf,3653.17,REF-START-036,BK-2025-0725-036,credit,397417.22
2025-07-26,Payment from Enterprise Solutions - API Development Serv,13559.509999999998,,BK-2025-0726-021,credit,313047.21
2025-07-28,Wire from Digital Marketi - REF-DIGI-025,3536.1800000000003,REF-DIGI-025,BK-2025-0728-025,credit,355295.44
2025-08-01,Transfer from Digital Marketing Co,1912.3100000000002,REF-DIGI-032,BK-2025-0801-032,credit,375530.26
2025-08-01,Monthly Service Fee,-25.0,BANK-FEE-002,BK-2025-0801-FEE,debit,649380.0799999998
2025-08-02,Wire from Global Enterpri - REF-GLOB-020,11062.689999999999,,BK-2025-0802-020,credit,299487.7
2025-08-04,Transfer from Digital Marketing Co,3917.6000000000004,REF-DIGI-029,BK-2025-0804-029,credit,368558.0
2025-08-04,ACH Credit - Enterprise Solutions,5059.95,REF-ENT-030,BK-2025-0804-030,credit,373617.95
2025-08-05,Manufacturing Inc - Invoice Payment,27987.089999999997,REF-MFG-023,BK-2025-0805-023,credit,348295.16
2025-08-05,Unknown Deposit - Investigation Required,750.0,UNKNOWN-001,BK-2025-0805-UNK,credit,650255.5799999998
2025-08-07,Wire from Tech Solutions  - REF-TECH-045,2772.06,REF-TECH-045,BK-2025-0807-045,credit,460964.5
2025-08-09,Wire from Tech Solutions  - REF-TECH-044,8720.88,REF-TECH-044,BK-2025-0809-044,credit,458192.44
2025-08-10,Wire from Tech Solutions  - REF-TECH-043,2594.55,REF-TECH-043,BK-2025-0810-043,credit,449471.56
2025-08-10,Wire Transfer Fee,-35.0,WIRE-FEE-001,BK-2025-0810-WIRE,debit,650220.5799999998
2025-08-12,ACH Credit - Acme Corporation,13834.74,REF-ACME-041,BK-2025-0812-041,credit,435519.5
2025-08-12,Wire from StartUp Venture - REF-START-046,2735.69,REF-START-046,BK-2025-0812-046,credit,463700.19
2025-08-13,Transfer from Enterprise Solutions,7893.620000000001,REF-ENT-040,BK-2025-0813-040,credit,421684.76
2025-08-15,Transfer from Enterprise Solutions,7178.049999999999,REF-ENT-034,BK-2025-0815-034,credit,393764.05
2025-08-18,Transfer from Digital Marketing Co,2724.0,REF-DIGI-038,BK-2025-0818-038,credit,400141.22
2025-08-18,Transfer from Enterprise Solutions,11357.51,,BK-2025-0818-042,credit,446877.01
2025-08-18,StartUp Ventures - Invoice Payment,1769.62,REF-START-052,BK-2025-0818-052,credit,479659.15
2025-08-18,Transfer from StartUp Ventures,3694.16,REF-START-061,BK-2025-0818-061,credit,555694.6
2025-08-19,Payment from Enterprise Solutions - Web Development Serv,13649.92,REF-ENT-039,BK-2025-0819-039,credit,413791.14
2025-08-20,Payment from Digital Marketing Co - ERP System Implement,5508.73,REF-DIGI-050,BK-2025-0820-050,credit,474364.23
2025-08-20,Payment from StartUp Ventures - Patient Management S,3901.95,REF-START-059,BK-2025-0820-059,credit,536833.1
2025-08-21,Transfer from Digital Marketing Co,5155.31,REF-DIGI-048,BK-2025-0821-048,credit,468855.5
2025-08-29,Digital Marketing Co - Invoice Payment,1810.21,REF-DIGI-054,BK-2025-0829-054,credit,481469.36
2025-08-30,Transfer from Manufacturing Inc,11055.74,,BK-2025-0830-033,credit,386586.0
2025-09-05,Wire from Acme Corporatio - REF-ACME-051,3525.3,REF-ACME-051,BK-2025-0905-051,credit,477889.53
2025-09-05,Transfer from Acme Corporation,5242.639999999999,REF-ACME-062,BK-2025-0905-062,credit,560937.24
2025-09-06,Payment from Enterprise Solutions - Patient Management S,5679.639999999999,REF-ENT-056,BK-2025-0906-056,credit,495754.48
2025-09-07,Retail Chain Ltd - Invoice Payment,6968.780000000001,REF-RET-065,BK-2025-0907-065,credit,592031.26
2025-09-11,Payment from Acme Corporation - Project Management S,7050.629999999999,REF-ACME-069,BK-2025-0911-069,credit,649430.08
2025-09-13,ACH Credit - Global Enterprises,8605.48,REF-GLOB-055,BK-2025-0913-055,credit,490074.84
2025-09-18,ACH Credit - Digital Marketing Co,4967.259999999999,REF-DIGI-063,BK-2025-0918-063,credit,565904.5
